,RMSE,MSE,MAE,MAPE,R2
1,46.09370480214974,46.09370480214974,19.43582876885754,0.10914103745896134,0.49959446587563616
2,49.41646543752817,49.41646543752817,24.132708327562717,0.15049971611456703,0.4248485362458111
3,51.36417725507459,51.36417725507459,25.247996501131254,0.15608011333811178,0.37850286550488743
4,52.727064397904535,52.727064397904535,25.817201544370654,0.15744330840868853,0.345083935391419
5,53.096263198441186,53.096263198441186,27.352519757288533,0.17154636774285656,0.3358802841435402
6,54.02132880202599,54.02132880202599,27.870691446479967,0.1730298936571386,0.31253754629219344
7,54.32753104176781,54.32753104176781,29.045816358531184,0.18702641421722255,0.3045509378539467
8,54.70197340583978,54.70197340583978,30.191496417971813,0.19880223495748503,0.2949313956303945
9,55.55463249821322,55.55463249821322,30.88944254811181,0.20281581478196042,0.2727797785586886
10,55.29305512023304,55.29305512023304,29.409940961232394,0.18652611064227112,0.2796808387366464
11,57.01714156797132,57.01714156797132,32.35700477211692,0.21468854218656191,0.2340601308366409
12,56.241287316152466,56.241287316152466,30.035913374499792,0.18861649259337118,0.2547631875289379
13,61.853350563702094,61.853350563702094,37.126531070090415,0.2624298997032036,0.0986269828957893
14,56.56561522378446,56.56561522378446,32.43185813126562,0.21821349485303648,0.24615315256989356
15,60.232499317578394,60.232499317578394,35.32625727927774,0.23904290259887773,0.14524851946149997
16,57.81033939272223,57.81033939272223,31.38287998294032,0.20312304473382445,0.21261138484232034
17,62.674993482150754,62.674993482150754,38.45514040447221,0.26641578527284077,0.07467706254110362
18,58.09614829533501,58.09614829533501,34.29341993010892,0.23555328371038733,0.2049408991518581
